Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,MtCO2e,56.1,60.5,55.5,55.8,56.3,59.5,63.1,62.4,63.1,61.4,61.8,66.1,67.7,72.8,74,74.5,71.8,69.3,69.1,62.7,68.4,66.7,64.1,64.7,61.2,62.4,62.8
Morocco,MtCO2e,19.8,20.6,22.1,22.8,24.9,26,25.7,26.8,27.5,29.1,29.6,32.1,33.3,33.1,36.6,39.2,40.5,41.3,43.1,43.1,46.2,50.7,52.1,51.6,53.5,55.3,55.3
Belarus,MtCO2e,100,96.4,86.9,75.5,64,56.8,58,58.1,56.2,54.1,52,50.9,50.8,51.3,54.5,55.1,57.2,55.9,58.4,55.4,59.4,56.4,57.7,57.7,56.9,52.7,53.1
Peru,MtCO2e,19.49,18.62,19.88,20.38,20.98,23.68,26.03,26,24.57,27.07,26.57,24.57,25.67,25.33,29.35,29.25,28.5,31.6,35.85,38.51,41.81,44.53,43.83,44.52,47.89,49.29,51.79
Libya,MtCO2e,35.04,32.27,29.34,29.77,34.43,36.13,37.98,37.99,38.64,37.05,38.71,40.36,42.26,42.97,44.14,47.5,47.11,44.01,49.27,51.26,54.35,36.8,51.47,54.21,56.15,50.15,51.55
Portugal,MtCO2e,37.8,39.6,43.7,42.6,44.2,47.3,45.3,47.3,52.2,58.3,57.8,57.9,61.7,56.9,58.1,61.4,56.4,54.6,52.9,53.2,47.6,47,45.7,44,42.9,47,47.2
Finland,MtCO2e,53.7,54.6,51.9,53.1,59.7,55.8,62.1,60.2,56.8,56,54.6,60.6,62.8,71.1,67.2,54.9,66.4,64.5,56.1,53.7,62,54.7,48.8,49.5,45.4,42.5,45.7
Serbia,MtCO2e,61.9,52.2,48,42.8,38.9,44.5,51.6,56.2,56.1,40.1,43,45,48.6,52.1,56.3,49.6,51.8,50,48.3,45.7,45.7,49.9,44.6,45.5,38.3,44.5,45.6
Singapore,MtCO2e,29.1,30.5,31.6,36.2,37.9,37.6,38.4,38.2,37.1,37.6,42.2,42.1,41.3,38,39.5,37.9,38.3,39.4,39.3,40.2,44.2,46.7,46,46.4,45.8,44.1,45.2
Hungary,MtCO2e,65.7,63.5,57.2,57.3,56.6,56.1,57.3,55.9,56.2,56.6,53.3,54.92,54.33,56.84,55.24,54.74,54.11,52.61,51.91,47.01,47.1,46.2,42.9,40.3,40.1,42.5,44
Bulgaria,MtCO2e,74.5,56.5,54,54.6,52,52.7,53.1,51.3,48.9,43,42.1,45.1,42.4,46.6,45.7,46.5,47.6,50.8,48.4,42.4,44.4,49.1,44.4,39.4,41.6,43.8,40.4
Sweden,MtCO2e,52.1,53.1,55.8,55.5,57.3,56.8,62.5,56.3,57.3,56.2,51.9,51.2,52.8,54,52.3,49,46.6,44.9,42.9,40.6,45.9,42.4,39.3,37.5,37.3,37.2,37.9
Switzerland,MtCO2e,40.8,43.5,43.6,41.5,40.6,41.4,42.2,41.2,42.7,43,41.9,43.4,41.9,43.2,43.6,44,43.7,41.7,43.2,41.8,43.2,39.2,40.7,41.8,37.8,37.3,37.8
Ireland,MtCO2e,30.1,30.7,30.8,30.9,32.2,32.7,34,35.1,37.5,39.2,40.9,42.9,42.1,42,42.6,44.5,45.5,44.6,44.3,39.8,39.6,35.5,35.9,34.7,34.1,35.4,37
Ecuador,MtCO2e,14.46,15,16.07,15.25,16.05,18.51,21.01,22.21,22.21,18.51,19.81,21.11,21.51,21.36,24.16,25.55,27.25,27.85,27.69,29.85,32.98,33.4,34.58,36.35,39.1,38,36.3
Norway,MtCO2e,28.49,26.81,29.73,31.26,32.91,32.12,33.02,34.97,36.78,38.46,33.21,33.84,33.59,36.25,36.75,35.59,36.69,37.09,36.23,36.73,39.49,38.1,37.16,36.45,36.45,36.75,36.05
