Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nicaragua,MtCO2e,28.86,28.86,28.86,28.86,28.86,28.86,28.87,28.87,28.88,28.87,28.87,28.89,28.89,28.89,28.89,28.89,28.85,28.85,28.85,28.85,28.85,0.08,0.08,0.08,0.07,0.07,0.12
Dominica,MtCO2e,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0.01,0.01,0.01,0.01,0.01,0.53,0.53,0.53,0.53,0.53,0.12,0.12,0.12,0.12,0.12,0.12
Bosnia and Herzegovina,MtCO2e,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-7.96,-8,-7.98,-7.89,-7.93,0.1,0.05,0.33,0.05,0.05,0.05,0.16,0.08,0.05,0.05,0.17,0.11,0.05,0.05,0.09,0.07
Comoros,MtCO2e,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Niue,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,-0.01,-0.01,-0.01,-0.01,-0.01,0.05,0.05,0.05,0.05,0.05,0.05
Singapore,MtCO2e,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,0.04,0.04,0.04,0.04,0.04,0.07,0.07,0.07,0.07,0.07,0.04,0.04,0.04,0.04,0.04,0.04
Saint Lucia,MtCO2e,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.02,-0.02,-0.02,-0.02,-0.02,0.22,0.22,0.22,0.22,0.22,0.03,0.03,0.03,0.03,0.03,0.03
Montenegro,MtCO2e,-1.22,-1.22,-1.22,-1.22,-1.22,-1.22,-1.22,-1.22,-1.22,-1.22,-1.22,-1.28,-1.28,-1.28,-1.28,-1.28,-16.9,-16.89,-16.9,-16.9,-16.9,0.08,0.03,0.03,0.03,0.03,0.03
Saint Vincent and the Grenadines,MtCO2e,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.05,-0.05,-0.05,-0.05,-0.05,0.18,0.18,0.18,0.18,0.18,0.02,0.02,0.02,0.02,0.02,0.02
Saint Kitts and Nevis,MtCO2e,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01
