Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Malaysia,MtCO2e,1.8,2.1,2,2.3,3.1,3.3,3.8,3.9,5.3,4.7,4.5,4.7,4.6,4.6,5.2,5,5.5,5.4,5.3,5.2,5.9,6.8,6.2,8.3,8.3,8.6,8.2
Oman,MtCO2e,1,0.9,0.6,1.4,0.6,0.6,0.6,0.6,0.7,0.8,0.9,1,1.2,1.2,0.7,0.8,1.1,1,5,3.9,4.9,3.2,4,4.3,5.3,5.6,6.8
Malta,MtCO2e,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.7,0.3,0.3,2.5,2.6,2.7,3.1,3.4,2.4,2.7,3,3.2,3.9,5,4.6,4.1,4.1,4.2,5.2,6
Qatar,MtCO2e,0.3,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.6,0.5,0.6,1,2.2,1.9,1.1,1.4,1.9,2.4,2.7,3.3,3.6,4.6,6.1,6.3,4,3.9,5.5
Portugal,MtCO2e,3.3,3.4,3.4,3.1,3,3.1,3.1,3.2,2.9,3.8,4,3.4,3.3,3.7,4.2,4,4.3,4.1,4.3,4,4.1,4.5,4.7,4.9,4.9,5.2,5.4
Philippines,MtCO2e,1.2,1.1,1.4,1.5,1.6,1.6,1.9,2.3,1.8,2.2,2.1,2.3,2.3,2.3,2.3,2.5,2.5,3.8,3.7,3.5,3.6,3.9,3.8,3.8,3.4,3.7,4.1
New Zealand,MtCO2e,2.4,2.2,2.2,2.2,2.7,2.7,2.7,2.7,2.9,2.8,2.6,2.8,2.9,2.9,2.9,3.2,3.2,3.3,3.4,3.3,3.4,3.5,3.5,3.6,3.4,3.6,3.6
Peru,MtCO2e,0.8,0.8,0.8,0.9,1,1.2,1.3,1.3,1.4,1.4,1.3,1.3,0.8,0.6,1.6,1.3,1.7,0.8,2.1,2.1,2.3,2.9,2.6,2.8,3.1,3,3.4
Pakistan,MtCO2e,1.5,1.7,1.7,1.8,1.8,1.7,1.6,1.6,2.1,2.2,2.1,2,2.4,2.1,2.5,2.8,2.7,2.4,2.6,2.9,2.9,2.5,2.4,2.6,2.2,2.4,2.6
Poland,MtCO2e,2,1.2,1.5,1.1,1.1,1.2,1.4,1.5,1.7,2,1.7,1.6,1.7,1.8,1.6,2,2.2,2.1,2.5,2.2,2.2,2,2.1,2,2.2,2.5,2.6
Morocco,MtCO2e,0.9,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,0.9,1,0.9,0.9,1.1,1.3,1.4,1.6,1.6,1.7,2.2,2.2,2,2.2,2.3,2.5,2.4
Nigeria,MtCO2e,1.6,2.2,2.2,2.3,2.3,2.7,2.9,2.2,2.2,3,1.8,1.8,1.6,1.8,1.9,2,1.9,1.9,3.8,3.2,1.8,1.9,1.8,2.3,2.2,2.3,2.4
Mauritius,MtCO2e,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.8,1,1.3,1.2,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.4,1.4,1.7,1.6,1.6,1.7,1.7,2
Norway,MtCO2e,2.7,2.4,2.8,2.8,3.2,3.3,3.5,4.2,3.9,4,3.7,3.6,3.3,2.5,2.4,3.3,2.8,3.2,2.6,2.7,2.4,2.5,2.6,2.7,2.3,2.2,1.8
Luxembourg,MtCO2e,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.8,0.8,1,1,1,1.1,1.2,1.3,1.3,1.2,1.3,1.3,1.3,1.3,1.2,1.1,1.1,1.2,1.4,1.5
Romania,MtCO2e,0.7,0.5,0.7,0.8,0.5,0.6,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.6,0.4,0.5,0.4,0.4,0.5,0.7,0.7,0.9
Lithuania,MtCO2e,0.7,1,1.1,0.6,0.6,0.5,0.5,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.7,0.6,0.5,0.2,0.4,0.8
Nepal,MtCO2e,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.2,0.4
Myanmar,MtCO2e,,,0.1,,,,,0.1,,,0.1,0.1,,0.1,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
Moldova,MtCO2e,0.2,0.2,0.1,0.1,,,0.1,0.1,0.1,,0.1,0.1,0.1,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Montenegro,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1
Macedonia,MtCO2e,,,,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,
Madagascar,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,MtCO2e,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
