Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,MtCO2e,46.23,50.4,45.7,45.83,46.3,49.13,52.93,52.26,52.7,51,51.51,60.68,62.1,67.21,68.57,68.86,69.45,67.22,66.93,60.29,65.62,63.33,60.73,61.42,57.8,59.16,59.59
Finland,MtCO2e,30.15,30.79,27.89,29.08,35.58,31.7,38.24,36.28,32.88,32.11,30.74,45.53,47.95,56.29,52.39,40.15,47.63,45.61,37.18,34.78,43.14,61.69,55.9,56.5,52.52,49.41,52.61
Belarus,MtCO2e,88.08,84.38,76.52,64.97,53.34,46.28,46.38,46.92,45.13,43.01,40.93,31.84,37.32,34.21,35.58,36.49,31.11,28.53,31.34,28.43,32.46,55.41,58.38,57.2,57.84,53.65,52.22
Libya,MtCO2e,36.04,33.34,30.28,30.81,35.88,37.54,39.43,38.92,39.95,38.07,39.93,41.47,43.59,44.27,45.47,49.03,49.19,46.12,51.28,53.67,57.15,38.04,52.13,54.89,56.83,50.69,52.09
Portugal,MtCO2e,42.5,44.19,48.16,47.22,48.71,52.08,50.21,52.38,57.06,63.65,63.12,67.01,71.2,66.23,67.7,71.12,60.27,58.64,56.68,56.19,50.86,51.54,49.88,48.14,47.52,51.55,51.33
Botswana,MtCO2e,39.37,39.27,39.87,39.77,39.67,39.77,49.36,57.98,65.74,54.36,45.58,33.19,102.05,64.55,20.21,55.54,25.9,58.94,23.19,17.95,13.37,18.72,20.02,45.17,23.11,96.52,50.6
Zimbabwe,MtCO2e,54.24,56.01,56.22,54.86,53.69,53.25,52.66,51.6,51.8,53.56,51.46,51.66,50.18,47.9,47.54,48.28,47.5,47.38,45.28,45.2,47.24,47.53,48.11,48.31,48.05,48.35,46.85
Hungary,MtCO2e,69.06,66.21,59.57,60.03,59.39,59,59.98,58.54,58.89,59.49,56.23,59.67,58.88,61.49,59.58,59.04,56.47,54.88,54.05,48.78,48.74,49.02,45.61,42.79,42.86,45.46,46.68
Papua New Guinea,MtCO2e,49.83,49.75,49.74,49.68,49.87,49.75,40.21,116.87,42.54,42.15,42.35,40.66,57.15,48.99,77.06,46.92,55.02,45.5,48.57,44.94,50.92,44.37,44.81,47.25,53.84,95.01,45.68
Singapore,MtCO2e,29.74,31.3,32.15,37.39,39.24,38.88,39.82,39.52,38.03,38.45,42.54,42.39,41.42,38.3,39.64,37.94,38.37,39.47,39.47,40.37,44.37,46.84,46.04,46.54,45.84,44.24,45.34
Mozambique,MtCO2e,36.33,36.13,36.31,36.51,36.32,36.32,36.37,36.49,36.49,36.39,36.61,37.34,37.53,37.87,37.85,37.63,31.9,32.32,32.35,32.57,32.81,40.57,40.45,40.91,41.98,43.11,45.21
Serbia,MtCO2e,57.22,47.52,44.23,38.51,34.95,40.61,48.06,52.57,52.6,36.09,39.27,41.25,44.81,48.15,52.59,45.77,-11.82,-13.38,-15.08,-18.11,-17.97,49.72,44.16,44.85,37.45,43.87,44.87
North Korea,MtCO2e,135.51,129.51,116.91,108.9,100.99,95.58,86.15,79.7,73.06,78.78,84.02,86.18,83.03,84.5,86.33,89.35,92.92,79.66,86.96,69.37,65.63,51.16,52.56,41.82,45.49,39.27,42.17
Ireland,MtCO2e,28.79,29.29,29.36,29.54,30.77,31.29,32.83,33.98,36.5,38.1,40.44,43.28,42.39,42.58,43.22,45.12,40.72,39.93,39.26,33.88,33.8,36.23,36.79,35.42,35.27,36.9,38.4
Switzerland,MtCO2e,41.45,43.82,43.88,41.58,40.78,41.66,42.16,40.88,42.38,42.68,41.89,43.66,42.07,43.32,43.72,44.31,42.08,40.22,41.59,40.28,41.89,39.59,40.98,42,38.25,37.48,38.14
Honduras,MtCO2e,42.82,42.83,43.11,43.24,43.6,44.24,44.24,44.38,45.02,45.15,45.38,34.46,34.71,35.33,36.17,36.37,34.95,36.68,36.48,36.08,36,36.7,37.04,37.33,36.93,37.73,37.63
Mongolia,MtCO2e,34.14,35.99,34.06,33.03,31.54,31.45,29.9,33.37,29.38,29.36,31.89,28.13,30.89,27.76,28.76,29.73,37.21,37.18,36.63,33.32,33.43,35.76,37.26,38.08,37.41,39.29,37.55
Sweden,MtCO2e,32.94,33.81,36.36,36.06,38.08,37.77,43.2,36.98,37.94,36.81,32.86,0.91,2.37,3.63,2.08,-0.99,43.69,41.94,40.04,37.7,43.29,39.67,36.61,34.94,34.84,34.62,35.52
Denmark,MtCO2e,52.16,62.78,57.04,59.34,63.23,59.99,73.32,63.79,59.83,57.03,52.73,55,55.11,60.48,54.97,51.4,58.6,53.76,50.55,48.25,48.61,42.08,36.89,38.64,34.4,32.05,33.71
Cambodia,MtCO2e,27.66,27.7,27.75,27.79,27.87,27.94,27.98,28.06,28.36,28.3,28.4,33,33,33.2,33.2,33.4,25.63,26.37,26.73,27.49,27.63,27.88,28.2,28.34,29.37,31.3,32.6
Republic of Congo,MtCO2e,26.11,28.4,28.31,28.31,28.1,28.2,17.1,17.8,17.55,17.39,16.9,21.53,18.16,26.11,27.13,34.95,31.43,27.58,24.25,23.68,29.63,35.11,33.57,33.69,21.83,31.74,32.36
Uganda,MtCO2e,21.78,21.8,21.8,21.8,21.72,21.95,22.05,21.73,22.55,22.14,22.34,20.96,22.82,23.79,24.46,25.19,29.79,27.68,29.13,29.69,29.69,30.77,30.44,31.5,31.77,32.87,31.87
Ethiopia,MtCO2e,33.17,33.15,32.35,32.86,33.21,33.47,28.94,27.5,30.3,29.71,27.19,33.9,41,39.86,39.49,31.92,37.61,30.22,37.45,36.24,35.46,20.31,27.5,32.64,25.37,26.52,31.63
