Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Latvia,MtCO2e,,,0.14,0.02,0.08,0.09,0.11,0.11,0.1,0.14,0.09,0.11,0.12,0.13,0.14,0.13,0.17,0.17,0.17,0.18,0.43,0.56,0.58,0.54,0.56,0.47,0.35
Bosnia and Herzegovina,MtCO2e,,,0.06,0.06,0.1,0.09,0.06,0.08,0.12,0.12,0.24,0.26,0.34,0.32,0.39,0.37,0.45,0.47,0.52,0.39,0.36,0.34,0.32,0.34,0.32,0.31,0.31
Bhutan,MtCO2e,,0.05,0.05,0.04,0.05,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.21,0.2,0.22,0.26,0.3,0.3
Republic of Congo,MtCO2e,0.04,0.04,0.05,0.05,0.04,0.04,0.02,0.01,,,0.01,,,,,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.06,0.1,0.18,0.27,0.27
Armenia,MtCO2e,,,0.1,0.05,0.03,0.07,0.08,0.16,0.2,0.16,0.14,0.14,0.21,0.22,0.3,0.33,0.34,0.41,0.41,0.24,0.29,0.26,0.28,0.27,0.27,0.27,0.27
Guinea,MtCO2e,,,,,0.1,0.1,0.1,0.1,0.11,0.12,0.12,0.13,0.14,0.14,0.14,,,,0.15,0.12,0.09,0.14,0.12,0.15,0.19,0.22,0.22
Estonia,MtCO2e,,,0.32,0.23,0.33,0.35,0.36,0.4,0.4,0.36,0.37,0.38,0.36,0.34,0.36,0.37,0.41,0.6,0.6,0.26,0.31,0.42,0.41,0.4,0.42,0.21,0.19
Democratic Republic of the Congo,MtCO2e,0.19,0.1,0.07,0.06,0.07,0.1,0.1,0.05,0.05,0.07,0.07,0.08,0.11,0.13,0.16,0.21,0.2,0.2,0.16,0.18,0.19,0.17,0.16,0.17,0.13,0.15,0.15
Djibouti,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.14,0.14,0.14
Botswana,MtCO2e,,,,,,,,,,,,,,,,,,,,,0.1,0.12,0.14,0.14,0.14,0.14,0.14
Eritrea,MtCO2e,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.1,0.1,0.12,0.12,0.12
Haiti,MtCO2e,0.09,0.11,0.09,0.04,,,,,,,,0.09,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Liberia,MtCO2e,0.02,,0,0,,0,0.01,0,0,0.01,0.03,0.03,0.02,0.01,0.05,0.06,0.06,0.06,0.04,0.03,0.03,0.03,0.05,0.07,0.11,0.12,0.12
Burkina Faso,MtCO2e,,,,,,0.01,0.01,0.01,0.01,0.07,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.22,0.23,0.23,0.25,0.23,0.16,0.1,0.1
Fiji,MtCO2e,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.05,0.06,0.05,0.04,0.06,0.06,0.06,0.07,0.07,0.08,0.08
Chad,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,0.05,0.07,0.08,0.08,0.08
Barbados,MtCO2e,0.09,0.09,0.08,0.03,0.03,0.03,0.05,0.08,0.11,0.11,0.11,0.11,0.13,0.13,0.13,0.14,0.14,0.12,0.12,0.1,0.09,0.09,0.07,0.06,0.06,0.06,0.06
